id,home_team,away_team
16wddyp,northerncolorado,weberstate
16wddzx,southdakotastate,northdakota
16wde13,newhampshire,towson
16we4hf,auburn,georgia
16we4il,nebraska,michigan
16we4jg,texas,kansas
16we4kk,maryland,indiana
16we4lx,purdue,illinois
16we4my,rutgers,wagner
16we4nt,georgiatech,bowlinggreen
16we4ox,texastech,houston
16we4pu,ucf,baylor
16we4qs,marshall,olddominion
16we4sc,westernmichigan,ballstate
16we4te,umass,arkansasstate
16we4ug,navy,usf
16we4vq,toledo,northernillinois
16we4wx,lafayette,bucknell
16we4y2,maine,stonybrook
16we4z9,albany,villanova
16weudo,vanderbilt,missouri
16weuex,memphis,boisestate
16weug6,unlv,hawaii
16weuh7,wyoming,newmexico
16weuja,nccu,campbell
16weukx,southeasternlouisiana,tarletonstate
16weulq,easternwashington,idaho
16weumz,montana,idahostate
16weuol,montanastate,portlandstate
16weupv,mercer,vmi
16wg9wv,harvard,holycross
16wg9xx,southernillinois,missouristate
16wg9yu,uapb,southern
16whq5d,olemiss,lsu
16whq6w,alabamastate,alcornstate
16whq81,charlestonsouthern,kennesawstate
16whq94,wofford,chattanooga
16wigvv,stanford,oregon
16wj7oa,oklahoma,iowastate
16wj7pg,rice,ecu
16wj7r1,northtexas,abilenechristian
16wj7sa,georgiastate,troy
16wj7tt,southernmiss,texasstate
16wj7v8,georgiasouthern,coastalcarolina
16wj7wa,coloradostate,utahtech
16wj7xb,mvsu,floridaam
16wj7yo,grambling,prairieviewam
16wj804,northalabama,easternkentucky
16wj817,murraystate,indianastate
16wj82a,houstonbaptist,lamar
16wj836,northwesternstate,easternillinois
16wj84a,stephenfaustin,texasamcommerce
16wj85k,utmartin,tennesseestate
16wjz00,tennessee,southcarolina
16wjz1a,duke,notredame
16wjz2e,iowa,michiganstate
16wjz38,smu,charlotte
16wkoxx,tcu,westvirginia
16wkoz8,virginiatech,pittsburgh
16wkp0d,ulm,appalachianstate
16wkp1p,airforce,sandiegostate
16wkp2z,southernutah,centralarkansas
16wkp40,calpoly,ucdavis
16wkp5k,mcneese,nicholls
16wm3bf,mississippistate,alabama
16wm3c6,sacramentostate,northernarizona
16wnezr,arizona,washington
16wo24u,fresnostate,nevada
16zv4ia,clemson,wakeforest
1701kq3,middletennessee,jacksonvillestate
1702ztw,newmexicostate,fiu
170ur2u,liberty,samhoustonstate
170w8yo,louisianatech,wku
171p32f,harvard,cornell
171pswl,oklahomastate,kansasstate
171qilp,illinois,nebraska
1728e91,ohiostate,maryland
1728e9y,missouri,lsu
1728eb3,oklahoma,texas
1728ec3,wisconsin,rutgers
1728ecr,mississippistate,westernmichigan
1728edi,virginia,williammary
1728eei,army,bostoncollege
1728efj,umass,toledo
1728egl,brown,rhodeisland
1728ehl,liu,sacredheart
17292tp,columbia,marist
1729qfc,ccsu,delawarestate
1729qgg,morganstate,stonybrook
1729qh9,merrimack,stonehill
1729qi6,bucknell,holycross
1729qj0,pennsylvania,georgetown
1729qjy,princeton,lafayette
1729ql1,fordham,lehigh
1729qm9,moreheadstate,dayton
1729qn9,presbyterian,stetson
1729qoc,stthomasmn,butler
172af7b,dartmouth,yale
172af8b,wofford,samford
172b4cp,ncstate,marshall
172b4dd,temple,utsa
172b4ee,buffalo,centralmichigan
172b4f5,elon,nccu
172b4g3,southcarolinastate,virginialynchburg-sheet4-row31-col19
172b4gy,hampton,campbell
172b4i0,northdakota,westernillinois
172b4iu,drake,valparaiso
172b4jy,lindenwood,tennesseetech
172b4ku,furman,citadel
172cjmf,ucla,washingtonstate
172cjnk,northwestern,howard
172cjoh,delaware,duquesne
172cjpg,missouristate,northdakotastate
172cjq6,southdakota,murraystate
172cjqw,easternillinois,utmartin
172cjru,kennesawstate,tennesseestate
172co9l,alabamastate,bethunecookman
172das0,texasam,alabama
172dat6,floridastate,virginiatech
172dau9,clemson,wakeforest
172dave,northcarolina,syracuse
172dawp,iowa,purdue
172daxq,louisiana,texasstate
172dayu,navy,northtexas
172dazt,easternmichigan,ballstate
172db10,miamioh,bowlinggreen
172db2f,ohio,kentstate
172db38,akron,northernillinois
172db4b,easttennesseestate,mercer
172db5g,alcornstate,grambling
172db6h,richmond,maine
172e0ey,florida,vanderbilt
172e0g2,kansas,ucf
172e0gu,uab,usf
172e0hx,troy,arkansasstate
172e0iz,nicholls,houstonbaptist
172e0kh,lamar,northwesternstate
172e0lo,northcarolinaat,villanova
172e0mi,towson,albany
172e0nn,chattanooga,westerncarolina
172e0op,jacksonstate,alabamaam
172e0pn,gardnerwebb,robertmorris
172fd3m,rice,connecticut
172fd4r,centralarkansas,southeastmissouri
172fd5y,incarnateword,southeasternlouisiana
172gqlk,fau,tulsa
172gqmp,youngstownstate,southernillinois
172hgqo,arizonastate,colorado
